	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Superobese_bmi	-0.048898845445364714	0.07385070575401187	-0.00580260797869414	-0.1961693838238716	-0.07052094861865044	-0.046172213507816195	-0.31170492619276047	0.1269406471401453	-0.08011039486154914	-0.12579434551298618	-0.08995502721518278	0.0752916382625699	-0.05493793450295925	-0.005588445652392693	0.02765092696063221	0.020905174664221704	0.00833258213242516	-0.06845470890402794	-0.038957673124969006	-0.11050003953278065	-0.3235379159450531	0.05682401382364333	-0.26109202206134796	0.19834934920072556	-0.1096382737159729	-0.20464037731289864	0.10606813058257103	-0.2105378843843937	-0.29690470546483994	-0.019212570688978307	0.02748875692486763	-0.18262437358498573	0.03648394503397867	0.053058823803439736	0.044141149846836925	0.025044160545803607	0.010338789783418179	-0.37252235412597656	-0.02572400774806738	0.03313783160410821	-0.12510798498988152	0.0023886326234787703	0.19675111398100853	-0.025369367096573114	0.03823897987604141	-0.17064516618847847	-0.07162128388881683	0.034294224344193935	-0.160627581179142	-0.08467976190149784
Pancytopenia	-0.06831099092960358	0.16734567284584045	-0.020756336394697428	-0.09541638195514679	0.18872371315956116	-0.08527584746479988	0.08718818798661232	-0.2260262370109558	-0.11228090524673462	0.05690964125096797	-0.2362731248140335	-0.038450656458735466	0.09414885938167572	0.030374152585864067	-0.07033064588904381	0.07756805792450905	-0.06787955388426781	0.008783165365457535	0.022096579894423485	0.09710384160280228	-0.20605647563934326	-0.09830088168382645	-0.20924630016088486	-0.07547114230692387	0.1381367743015289	-0.14043348655104637	0.1445005238056183	-0.021630912204273045	-0.3018878400325775	0.1338791288435459	0.215488038957119	0.02117919083684683	0.14845548570156097	-0.1837935820221901	-0.2900799661874771	-0.09785168990492821	0.10633515566587448	-0.21361219137907028	-0.17616738379001617	0.052374960854649544	-0.17979750782251358	-0.18007498979568481	0.2003142386674881	0.12380191683769226	-0.11003151163458824	0.08602812886238098	0.08103962242603302	-0.10904218256473541	-0.012614683713763952	-0.12126933038234713
Superficial injury; contusion	-0.09797242802645391	-0.13385140515553454	0.12452586285459498	0.05083559982012957	-0.05231095890242917	0.04595948969751286	-0.05852310586875926	0.13734015023801477	0.1852468545238177	-0.10792208025037932	0.13773821080103515	-0.02882811865614106	-0.02967833533111843	-0.17236155529196065	0.06434971088698754	-0.17273072813016674	0.17716175702710946	-0.073383486433886	-0.009849995734111872	-0.1309009061505397	0.06220629304880276	0.06381595447504272	0.21643770622710387	0.187763439831906	-0.22177720020214717	0.11812791430080931	-0.1719983048737049	0.04720158524190386	-0.010071880995140722	-0.050487112622552864	-0.18700524708256125	-0.030424940239754505	-0.19862099174012351	0.1761659122304991	0.030449825059622525	-0.12036241235800844	-0.02501148356629225	-0.01734246043136712	0.07109303958908034	-0.16704961626480022	0.20307824370296051	0.19187158038839697	-0.18108804325262706	-0.09229159510286991	0.1731648816416661	0.01928406100620729	0.022968947091915954	-0.12640496420984468	-0.08055938844336197	0.20053163543343544
Oro_Facial_Congenital_Anomaly	-0.12414465782543023	-0.03659634722862393	0.0538941870133082	0.15292125195264816	0.07189785937468211	0.12042961145440738	-0.02484135614940897	0.011393371659020568	0.13304961721102396	-0.16701016823450723	0.036054432392120354	-0.027503371238708496	0.04249331851800283	-0.2540978839000066	0.04616803924242654	-0.18252494434515634	0.2636837661266327	0.041423093837996326	0.10644236952066422	-0.07113610580563545	0.09767695516347885	-0.011342455943425497	0.18986732761065164	0.18858744204044342	-0.13580577758451304	0.05933022250731786	-0.21975181996822357	0.14126170178254446	0.030552620068192482	-0.007883492236336073	-0.08061790714661281	0.05502277612686157	-0.09307558337847392	0.17872773110866547	0.02681075657407443	-0.1252710148692131	0.07387087245782216	0.01699619988600413	0.14108902836839357	-0.022989441951115935	0.06703804557522137	0.19384878873825073	-0.05856412462890148	-0.006884415323535602	0.1589408293366432	-0.0542349157234033	0.07807427272200584	-0.07397586603959401	0.008078981190919876	0.13108434279759726
Non_Specific_Metabolic_Disorder	-0.10407205671072006	-0.0223498409613967	0.046206263126805425	-0.11165076307952404	-0.01973722130060196	-0.005679495632648468	-0.09044295450439677	0.07740609953179955	-0.0303849020274356	-0.01762861893803347	0.10938369086943567	0.06318796658888459	-0.13489537127315998	0.021053008909802884	0.15321263205260038	-0.10830935870762914	-0.019483650568872683	-0.21285547129809856	-0.14975283900275826	-0.14664952538441867	-0.24486735463142395	0.1852182102156803	-0.0029029668949078786	-0.012045052833855152	0.03788972273468971	0.10607005259953439	0.0666620098054409	-0.21425406634807587	-0.08619460556656122	-0.11761356494389474	-0.05574337169309729	-0.2022338816896081	-0.08341697137802839	0.012976529076695446	-0.06806224148022011	-0.03746272134594619	-0.0707499081036076	-0.18112839478999376	0.0055753048509359394	-0.11252426635473967	-0.00944842863827944	-0.007483186782337725	-0.09096998907625675	-0.184229482896626	-0.006691277259960771	0.10403294395655394	-0.20351868867874146	0.010658402519766241	-0.08531463285908103	-0.001658212800975889
Psoriasis_Related_Disorders	0.07857393298763782	-0.06085535790771246	0.07915932452306151	0.086363828741014	-0.031140115694142878	-0.06975379132200032	0.12980126962065697	0.016434740275144577	0.10292134433984756	-0.1017295140773058	-0.08380362717434764	-0.08272664155811071	-0.03727904241532087	-0.18057426810264587	0.10834634955972433	-0.2264752984046936	0.15593732381239533	0.013140735100023445	0.054879617877304554	-0.021605074405670166	-0.07966561429202557	-0.01378492871299386	0.1637663058936596	-0.010007290169596672	0.01743364334106445	-0.00958325038664043	-0.10535192722454667	0.0381468830164522	-0.018705200403928757	0.10231361538171768	-0.10651573538780212	-0.13622205471619964	-0.24498260393738747	0.10512482095509768	-0.11221294477581978	0.04195089917629957	-0.0780000975355506	-0.053309742361307144	0.012774428352713585	-0.13277827762067318	0.07218838902190328	0.1851271539926529	-0.15639274567365646	-0.18388240039348602	0.21063151210546494	0.15081439167261124	-0.1258141053840518	0.018255029805004593	0.04605985525995493	0.262186162173748
Congenital_Spine_Anomaly	0.0748720330496629	-0.15108333776394525	-0.11703883608182271	-0.16619915266831717	-0.12677511821190515	-0.18765276173750559	-0.16541220744450888	0.0712850634008646	0.21704407533009848	0.04355630340675513	0.13484015067418417	-0.10324738671382268	-0.09721150994300842	0.04127213855584462	-0.027711845934391025	-0.021249270687500637	-0.03197213386495908	-0.25988440215587616	-0.1640688975652059	-0.047922201454639435	-0.029873808535436794	0.14619842171669006	0.07568099225560825	0.038991307839751244	-0.11009345451990764	-0.04914359748363495	0.022965483833104372	-0.1143957848350207	-0.2580738415320714	0.01608292106539011	0.018276024144142866	-0.08837753534317017	-0.1817624270915985	0.10501124585668246	0.13280869275331497	0.10589313507080078	-0.254165917634964	-0.24276232222716013	-0.09429572770992915	-0.03869879866639773	0.2278681347767512	0.012267672146360079	-0.29065171877543133	-0.029331754272182778	0.025138453890879948	-0.07942138239741325	0.05652312561869621	-0.2570967972278595	-0.25943244993686676	0.05265787181754907
Non_Specific_Eye_Disorders	-0.0972760623054845	-0.049449323543480465	0.15753700690610067	-0.06768991904599327	0.10803088943690195	-0.00029199994501790733	0.15944784014884913	-0.07588825474626251	-0.043729333473103385	0.05080426590783255	0.013401017524302006	0.12392179694558893	-0.14203467752252305	-0.08485753262149436	0.19263081678322383	-0.1899452390415328	0.0030774902552366296	-0.17368857775415694	-0.16351583919354848	-0.18267644196748734	-0.009667446421060183	0.1381293162703514	0.250159067767007	-0.024639100368533815	0.003668045092906267	0.14125608706048556	-0.13695173284837178	0.05510823175843273	0.024583169392177036	-0.07370457611978054	0.05964883629764829	-0.1716702761394637	0.03654406539031437	-0.09486197467361178	-0.13876569962927274	-0.11962461844086647	-0.062260957601081045	-0.10704279562924057	0.023110547768218175	-0.12721717676946095	0.016273671495062963	0.022525218182376443	-0.18565861880779266	-0.09704866632819176	0.002918051289660586	0.1818946578672954	-0.16354175444160188	-0.20158386443342483	0.04610410883157913	0.22119841192449843
Sideroblastic_Anemia	-0.18200449645519254	-0.08190667629241942	0.08294122666120529	-0.26361802220344543	-0.07988478988409042	-0.1816164404153824	-0.10777688771486282	0.02523371204733849	0.13303664326667786	-0.056128859519958496	-0.03968071192502976	0.18413205444812772	-0.1944703608751297	-0.025568030774593357	0.052836202085018165	-0.11641373485326767	0.012646220624446869	-0.11796125769615172	-0.22365720570087436	-0.08948814868927002	-0.35753458738327026	0.22902147471904755	-0.017828842625021938	0.0044692219235003	0.037570111453533166	0.13878023624420166	-0.033571235835552216	-0.22863814234733584	-0.1082063540816307	-0.1508788913488388	-0.0616719201207161	-0.20086553692817688	-0.03192305937409401	0.04505257308483124	-0.14006806910037994	-0.1931686252355576	-0.2304399013519287	-0.1830088496208191	0.061563111841678626	-0.044739194214344025	0.001190260169096291	-0.11970371752977373	-0.10125982761383057	-0.15442422032356262	0.06910130381584167	0.11990046501159668	-0.26262736320495605	-0.08154583722352983	-0.04094549268484116	0.1354861557483673
Connective_Tissue_Cancer	0.015408478677272797	0.0972079187631607	-0.14632311463356018	-0.15521050989627838	0.17542874813079834	-0.2159829288721085	-0.10016289353370668	-0.2404880225658417	0.18264059722423556	0.05642488971352577	-0.2513832151889801	-0.09828813374042512	0.0925385281443596	-0.0809803381562233	-0.1611432284116745	-0.009583631530404093	0.03979767858982086	0.07183326780796051	0.002916371216997504	0.1780136227607727	-0.11789211630821228	-0.08444051444530487	-0.1162215918302536	0.006827281787991525	0.1169085130095482	-0.11842038482427596	-0.02293470129370689	0.0790267363190651	-0.3762606680393219	0.13093797862529755	0.19095432758331302	0.14083418250083926	0.13409467041492462	-0.030081911012530323	-0.15112334489822388	-0.06492023169994354	-0.06580448895692825	-0.24099041521549225	-0.050435587763786316	0.1958756148815155	-0.13682930171489716	-0.14192920923233032	0.07135102897882463	0.13601310551166534	-0.03571076691150665	-0.06807012856006622	0.19868351519107816	-0.2520027160644531	-0.03957133367657661	-0.06539354473352432
